% Man Tik Li
% abstract.arff
% INFO 371 - Data Mining Applications
% Domain-class:
% AI - Artificial Intelligence (Line 15 - 34)
% STAT - Statistics (Line 35 - 54)
% ENVS - Environment Science (Line 55 - 74)

@RELATION hw2-articles

@ATTRIBUTE abstract_col string
@ATTRIBUTE domain-class {AI, STAT, ENVS}

@Data
"Parameters and statistics are not the same thing. If you calculate a sample standard deviation (s), it is incorrect to label this number as the population standard devia- tion (σ). Mixing up the labeling of statistics and parame- ters is a common mistake made by students of statistics. As we shall see later, the SS is a very important quantity in many statistical procedures. In the above example, the sum of squares is 12 (table 4.3). If the sum of squares is divided by the number of observations minus one (n – 1), we obtain an- other important value, called the variance (s2). Ac- cording to statistical theory, the term n – 1 (called degrees of freedom) is used to correct for a slight bias in estimating the variance (Sokal and Rohlf 2012). If we had a complete census of the popula- tion and calculated the population standard devia- tion, this correction would not be necessary.",STAT
"Review the descriptive statistics shown in table 4.4. These statistics were generated with R. The code for doing descriptive statistics is described in Applications in R, which follows the chapter 4 exer- cises. In it, you can also find a brief description of some unfamiliar terms in the table. The mean and standard deviation are useful de- scriptive statistics for symmetrical, bell-shaped dis- tributions, a property of many familiar variables such as heights, weights, and yields. These statistics are useful in another way when thinking about data. The empirical rule states that about 68% of the data should fall within one standard deviation of the mean, about 95% should fall within two standard deviations, and nearly all of the data should fall within three standard deviations. For example, if the mean and standard deviation of a sample were 50 and 5, respectively, we should expect 95% of the ob- servations to fall between values of 40 and 60 (two standard deviations to either side of the mean). This empirical rule gives us a measuring stick for draw- ing a bell-shaped distribution for any particular data set, as long as the underlying distribution is normal. We explore this topic in more detail in chapter 8.",STAT
"In this chapter, we have explored descriptive statistics for determining central tendency and dis- persion in a sample. Such data analysis is useful, but not terribly interesting since, so far, the results apply only to that particular sample. The broader questions often require us to make inferences about the larger population (section 1.2). When we calcu- late statistics like the sample mean, we are generally interested in knowing something about the popula- tion mean (a parameter, μ). How close can we ex- pect such estimates to be to the true value of the parameter? Basically, we will want to know how to determine the uncertainty of such population esti- mates (chapters 8 and 9). In order to do that, statisti- cians must first know something about probability. We explore that topic in the next chapter. As a general rule for hand-worked problems, show all steps in your calculations and underline your final answer. When running analyses with the computer, save all the relevant output in a format you can easily retrieve.",STAT
"Most events in life are uncertain. Will it rain to- day? Will the batter strike out? Will the phone ring to- night? Probability is the chance that a particular event will occur in an uncertain world. Probabilities range from 0 to 1. When the probability is 0, the event is impossible; and when the probability is 1, the event is certain. The higher the probability, the more certain we can be that the event will occur. Consider a simple thought experiment. Suppose we have a very large population of fish, well mixed and with mutants con- sisting of exactly 10% of the population. If we were to sample one fish from the population and return it, and repeat this process thousands of times, then the probability of obtaining a mutant fish would be equal to the proportion of times that a mutant appeared in the sample. In this case, the probability is 0.10. Proba- bility theory is the formal study of such chance events. Probability theory generates expectations that support informal decisions in such disparate fields as business, sports, and gambling. (Indeed, the for- mal rules of probability were developed in the 1600s by mathematicians employed by gamblers; now they are employed by insurance companies!) Proba- bility theory is used in a number of sciences, includ- ing physics, computer science, artificial intelligence, game theory, and genetics. For instance, genetic counselors can use patterns of inheritance together with outcomes of medical tests to predict the risk of numerous diseases. Probability is also a foundation of statistical inference (hypothesis testing), which we explore extensively later in this book.",STAT
"Note that without the prediction based on the bi- nomial probability distribution, we would not know if the number of predominantly single-sex litters that we observed was too large to be produced by ran- dom combinations of X and Y chromosomes. In other words, we cannot conclude that a result is not due to chance alone unless we know what result is expected if it is due to chance. This concept is the basis for much of statistical hypothesis testing (chapter 6), the subject of much of the remainder of this book. Another discrete probability distribution often useful to biologists is the Poisson distribution. Generally, we use the Poisson distribution to pre- dict probabilities of the occurrences of “rare” events, when such occurrences are known to be in- dependent of one another. We can then use these probabilities to generate an expectation for evaluat- ing if the occurrences of such events are indepen- dent of one another. The event of interest must be rare, which is to say that the number of occurrences in any sampling unit must be small relative to the number of times that it could conceivably occur. In the- ory, there is no upper limit on the possible number of occurrences in a single sampling unit. In reality, there must be limits. For example, when trees are at low density (say one or two per hectare), it’s possi- ble for them to follow a Poisson distribution. How- ever, when the trees are so abundant that they are bumping into one another, the trees cannot be ran- dom in their distribution because they are compet- ing for limited space and resources.",STAT
"Quite often we have multiple measurement variables and would like to quickly assess which variables are associated with which other variables. We might have measures of a number of environ- mental features and would like to know how each feature tends to associate with all other features. Let’s say we had nine such features. Nine items taken two at a time would give 36 possible pair- wise combinations (section 5.3). Doing so many cor- relations requires a lot of calculations. Fortunately, computers are good at this. To illustrate a correla- tion matrix, we’ll use correlation statistics calcu- lated from a survey of 138 lakes (example 13.2). Computer statistical packages typically show correlation results in the form of a matrix, with val- ues of the statistic (r) listed for each possible pair. Such a result is shown in table 13.2. The statistics were generated by R (explained further in Applica- tions in R, following the chapter exercises). In the table, the diagonal shows correlations of each vari- able with itself (values of 1.00). The r-statistics of in- terest fall below the diagonal. For instance, the correlation between area and pH is –0.127. If p-val- ues are not reported automatically (as in our exam- ple), one can easily check table A.7 for the critical value and quickly screen the values of r that equal or exceed that critical value. For the correlation ma- trix shown in table 13.2, the original data has n = 138 lakes in which each of the variables was mea- sured. So, we have 138 – 2 = 136 degrees of freedom.",STAT
"Notice that both egg number and body weight are random variables, in contrast to the data from example 14.1 where temperature was controlled ex- perimentally. Inspection of figure 14.3 indicates that egg production is closely related to body mass in green iguanas and the relationship appears to be increasing linearly. Since regression analyses are normally performed using computer analysis pack- ages, we present the analysis of example 14.2 from R in table 14.6. Examining the ANOVA table from R, we see that the null hypothesis of b = 0 can be rejected since the p-value for the regression is 0.000006, quite small by any standard. Therefore, the statistics confirm that variation in body weight predicts egg production in iguanas. Based on the coefficients reported in table 14.6, the regression equation is: eggs = 1.455 + 32.066 (mass) reflecting the clear positive relationship shown in the figure. R also conveniently calculates the r2 (0.906) and the standard error for the estimate of β (3.444). R also provides an adjusted r2, which we can ignore here. The adjusted r2 involves a much more complicated calculation and this statistic is important only for multiple regression analyses (section 14.10).",STAT
"Statistics are widely used in science (and every- day life) to determine the meaning of raw numeri- cal data. Sometimes we can stop there. For instance, if we study a small population from which we can collect every individual measurement, then we can directly calculate the parameter of interest. Sports enthusiasts may keep track of batting averages for their favorite baseball players (every batting at- tempt is recorded). Fisheries biologists may need to keep track of fungus infections in their hatchery tanks. Draining the tank and counting the number of infected and uninfected fish allows them to de- termine exactly the percent infected. Educators may want to know the average score on an exam for their classes each year, and can simply calculate each mean directly. In each case, since our popula- tion was collected in its entirety, we have directly determined the value for the parameter of interest. On the other hand, if the population is much larger, we must instead take a random sample, cal- culate sample statistics, and then make inferences about parameters of the entire population. (Review concepts of sampling and parameters in sections 1.2 and 4.1, respectively). Consider two examples that illustrate this process. Education is a process of development which includes the three major activities, teaching, training and instruction. Teaching is social as well as a professional activity. It is science as well as art. Modern education is not in a sphere but it has a long and large area of study. Now a days most part of the world population is facing different problems related with the nature and they are studying the solutions to save the nature and global problems, but on the second hand we even today do not try to understand our local problems related to the nature. So for the awareness of the problems of nature and pollution the higher education commission has suggested to add the Environmental Science in the course of different levels. Environmental Science is also well known as Environmental Studies in the Indian Colleges and Universities. Before that it was the part of the science but now a days it is a very common subject and higher education commission has suggested including it as a general paper in all the courses.",ENVS
"Awareness in the field of environmental sciences is becoming a global talk. People worldwide are realizing its importance as they are able to smell a Polluted tomorrow. Careful handling of todays’ environment would only serve as a legacy for tomorrows’ generation. Hence, we need to be judicious in exploiting our resources optimally. To ensure a sustainable development we need to know something about how our environment works. Environment can be defined as the set of conditions that surround an organism or the complex of socio cultural condition that affect an individual. Environmental Science is the systematic, scientific study of the environment in combination with living organisms. Most of the universities have introduced this new content as course of Environmental Science or Environmental Studies/Environmental Science in B.Ed. Course. The present book has been written by including some content of print and non-print media. Now this book is especially for modified syllabus of B.T.C./B.Ed./ M.Ed. of Indian & Foreign Universities/ Training Institute & Education Colleges Recognized by National Council of Teacher Education, New Delhi.",ENVS
"The physical attributes are the answer to this question, which become environment. In fact, the concern of all education is the environment of man. However, man cannot exist or be understood in isolation from the other forms of life and from plant life. Hence, environment refers to the sum total of condition, which surround point in space and time. The scope of the term Environment has been changing and widening by the passage of time. In the primitive age, the environment consisted of only physical aspects of the planted earth' land, air and water as biological communities. As the time passed on man extended his environment through his social, economic and political functions. The answer to this question. It is in nature that physical component of the plant earth, viz land, air, water etc., support and affect life in the biosphere. According to a Goudie, environment is the representative of physical components of the earth where in man is an important factor affecting the environment.",ENVS
"Importance of Environment Studies: The environment studies enlighten us, about the importance of protection and conservation of our indiscriminate release of pollution into the environment. At present a great number of environment issues, have grown in size and complexity day by day, threatening the survival of mankind on earth. We study about these issues besides and effective suggestions in the Environment Studies. Environment studies have become significant for the following reason. Development, in its wake gave birth to Urbanization, Industrial Growth, Transportation Systems, Agriculture and Housing etc. However, it has become phased out in the developed world. The North, to cleanse their own environment has, fact fully, managed to move ‘dirty’ factories of South. When the West developed, it did so perhaps in ignorance of the environmental impact of its activities. Evidently such a path is neither practicable nor desirable, even if developing world follows that. World census reflects that one in every seven persons in this planted lives in India. Evidently with 16 per cent of the world's population and only 2.4 per cent of its land area, there is a heavy pressure on the natural resources including land. Agricultural experts have recognized soils health problems like deficiency of micronutrients and organic matter, soil salinity and damage of soil structure.",ENVS
"Our survival and sustenance depend. Resources withdraw, processing and use of the product have all to by synchronised with the ecological cycles in any plan of development our actions should be planned ecologically for the sustenance of the environment and development. Keeping in view the of goal of planning for environmentally sustainable development India contributed to the United Nations Conference on Environment and Development (UNCED), also referred to as “Earth Summit” held at Rio de Janciro, the Capital of Brazil, 3rd-14th June, 1992. It is essential to make the public aware of the formidable consequences of the Environmental Degradation, if not retorted and reformative measures undertaken, would result in the extinction of life. We are facing various environmental challenges. It is essential to get the country acquainted with these challenges so that their acts may be eco-friendly. Some of these challenges are as under: India has often been described a rich land with poor people. The poverty and environmental degradation have a nexus between them. The vast majority of our people are directly dependent on the nature resources of the country for their basic needs of food, fuel shelter and fodder. About 40% of our people are still below the poverty line. Environment degradation has adversely affected the poor who depend upon the resources of their immediate surroundings. Thus, the challenge of poverty and the challenge environment degradation are two facets of the same challenge. The population growth is essentially a function of poverty. Because, to the very poor, every child is an earner and helper and global concerns have little relevance for him.",ENVS
"Nearly 27 per cent Indians live in urban areas. Urbanisation and industrialisation has given birth to a great number of environmental problem that need urgent attention. Over 30 percent of urban Indians live in slums. Out of India’s 3,245 towns and cities, only 21 have partial or full sewerage and treatment facilities. Hence, coping with rapid urbanization is a major challenge. Proper measures to conserve genetic diversity need to be taken. At present most wild genetic stocks have been disappearing from nature. Wilding including the Asiatic Lion are facing problem of loss of genetic diversity. The protected areas network like sanctuaries, national parks, biosphere reserves are isolating populations. So, they are decreasing changes of one group breeding with another. Remedial steps are to be taken to check decreasing genetic diversity. The people should be roused to orient institutions, attitudes and infrastructures, to suit conditions and needs today. The change has to be brought in keeping in view India’s traditions for resources use managements and education etc. Change should be brought in education, in attitudes, in administrative procedures and in institutions. Because it affects way people view technology resources and development.",ENVS
"Although physical and social environment are common to the individual in a specific situation. Yet every individual has his own psychological environment, in which he lives. Kurt Lewin has used the term ‘life space’ for explaining psychological environment. The Psychological environment enables us to understand the personality of an individual. Both- the person and his goal form psychological environment. If a person is unable to overcome the barriers, he can either get frustrated or completed to change his goal for a new psychological environment. But adopting this mechanism, the individual is helped in his adjustment to the environment. Social Environment includes an individual’s social, economic and political condition wherein he lives. The moral, cultural and emotional forces influence the life and nature of individual behaviour. Society may be classified into two categories as under: Thus, the biotic environment further be divided into floral environment and faunal environment. All the organisms work to form their social groups and organizations at several levels. Thus, the social environment is formed. In this social environment the organisms work to derive matter from the physical environment for their sustenance and development. This process gives birth to economic environment. Man claims to be most skilled and civilized of all the organisms. This is the reason why his social organisation is most systematic. The three aspects of man, e.g. physical, social and economic, function in the biotic environment as under:",ENVS
"In Singrauli complex forests and hillocks have been erased due to construction of high power transmission lines, roads and rail tracks. Establishment of other factories as cement and super thermal power stations around coal mines have resulted into environment degradation. The creation of new settlements for the workmen and rehabilitation of project outsees in the watershed areas may result in the aggravation of the seriousness of advance impacts. In our country a number of big, medium and minor dams are undertaken mainly for three purposes-irrigation, power generation and water supply. The country’s first Prime Minister, Jawharlal Nehru, hailed these dams as the Temples of Modern India. They have increased agricultural production, power generation and reduced dependence in imports. However, on the contrary to the advantages enumerated above, some experts opine that the social, environmental and even economic cost of these dams, far outweighs their benefits. They hold that the most important social consequences of big dams has been the displacement of million of tribals from their homeland and their eventual influx into urban areas, almost as refugees. This is the reason why the scientists, environmentalists, journalists, social activists, lawyers and bureaucrats have now raised their voice against big dams.",ENVS
"In hilly tracts, blasting operations for road construction can cause considerable damage to the environment through the following activities: Ponds have little vertical stratification. In them littoral zone is large than and limnetic zone and profundal zone. In a small pond the limnetic profundal zones are not found. The warm top layer, the epilimnion is heated by the sun and homogenised by the wind and other currents. On the contrary to it, the deep cold layer, the hypolimnion is not heated by sun and not circulated by wind. The basis upon which the layers are maintained is strictly thermal and is caused by the fact that the warmer water is lighter than the colder water. After the formation of a thermocline, no exchange of water occurs between the epilimnion and hypolimnion. Moving water or lotic ecosystems include rivers, streams, and related environments. They are of various sizes ranging from Ganga, Yamuna, Hindon, Kali Nadi, Sutlez, Gomti, etc to the trickle of a small spring. Likewise, there is distinction on the basis of flow. On one hand there are raging torrents and waterfalls and on the other hand, the rivers whose flow is so smooth as to be almost unnoticeable. Every river varies considerably over its length, as it charges from a mountain brook to a large river.",ENVS
"The Ministry of Water Resources constituted in February, 1990 an Environment Monitoring Committee under the Chairmanship of Member, Water Planning, Central Water Commission, with representatives of concerned Ministries to have periodical and effective monitoring of the implementation of environmental conditions laid down by the Ministry of Environment and Forests at the time of clearance of projects. Out of the 82 Irrigation Multi- purpose and Flood Control Projects for which the Ministry of Environmental Monitoring Organization of Central Water Commission has stipulated environmental safeguards and site visits by the committee. The project authorities of the remaining 72 projects have been requested to set-up Project-Level Environment Monitoring Committee and Report the progress to the Environmental Monitoring Committee. The committee has already visited and assessed the situation in respect of Three Projects identified for close monitoring. The Central Soil and Material Research Station, New Delhi, is a premier organization which deals with Geo-mechanics and construction of material problems relevant River Valley Project Construction. It plays an active role in imparting knowledge to Engineers involved in the construction, designs etc. by holding nation level workshops with the help of the United Nations Development Programme Experts.",ENVS
"Protection of the environment and safeguarding of health through the integrated management of water resources and liquid and solid waters. Some 55 pilot Project called mini-mission areas covering various status and union territories and Five Submission were taken up during the seventh plan. A problem village has been defined as one with no source of safe drinking water within a distance of 1.6. or within a depth of 15 metres. One problem villagers face are those where available water has excessive salinity, iron, fluoride or other toxic elements or where diseases like cholera, guinea worm, etc are endemic. After covering problem villagers identified in the Sixth and Seventh Plan, water supply facilities were proposed to be extended to villagers as per liberalized norms i.e. within a distance of 0.5 km. and enhancing present norm of water supply from 40 litres to 70 litres per capita per day and provide one source (tubewell with hand-pumps or stand-post) for a population of 150 against the existing norm of 250-300 persons. Priority was being accorded for coverage of SC/ST habitations and water supply for the economically and socially background areas. States were advised to allocate atleast 25 per cent of ARWSP funds for the Schedule Castes and another ten per cent of Schedule Tribes. At the commencement of the seventh plan, 161, 722 problem villages remained to be covered with safe drinking water facilities. The mission had been successful in covering 1,53,390 problem villages in the Seventh Plan. Remaining 8,332 villages which had spilled over to the Eight Plan were to be covered in the first two years of the Eight Plan i.e. by 1992.",ENVS
"The Narmada Control Authority was set-up in pursuance of the decision of the Narmada Water Disputes Tribunal. It started functioning from December, 1980 and was further strengthened during 1987 and 1990. The authority coordinates and directs Narmada Basin Development Project and takes such measures as are necessary or expedient for protection of environment and also prepares Schemes for the Welfare and Rehabilitation of Oustees and Other Affected Persons. The Tungabhadra Board is incharge of the common portions of the Tungabhadra Project. The Krishna Water Disputes Tribunal had made specific provision in the award for the use of Tungabhadra Waters by Karnataka and Andhra Pradesh. The responsibility for carrying out this specific provision relating to the use of Tungbhadra Water has been entrusted to the Tungabhadra Board by the Tribunal. The board is also regulating the water for irrigation, Hydro-Power Generation and other uses of the Right Bank. India and Pakistan signed the Indus Water Treaty on 19 September, 1960, fixing and delimiting the rights and obligations of the Two Countries with regards to the use of the waters of the Indus River System. It came into force from first April, 1960. A Permanent Indus Commission representing both the Governments have established co-operation arrangements for implementation of the treaty.",ENVS
"The Indo-Nepal, sub-commission on water resources was set-up in August 1988, to deal with all aspects of Indo-Nepal Cooperation in the multiple uses of Water Resources for mutual benefit. In additional to the matter already under discussion at secretary-level and other meetings, the sub-commission shall identify new programes/Project for water resources development for cooperation between India and Nepal in specific sectors viz. irrigation, water-logging and drainage, hydro-electric power generation. Inland navigation, collection of hydrological data, measures to prevent and reduce losses due to floods, flood forecasting and flood warning, environment safeguard measures and transfer of technology suited to the requirement of both the countries. The Farkka Barrage Project is designed to subserve the need for preservation and maintenance of the Calcutta Port by improving the regime and navigability of the Bhagirathi- Hooghly River System. The Bhagirathi, the feeder canal and the navigation lock at the Farakka Barrage form part of the Haldi-Allahabad Inland Waterway for which an act has been passed.",ENVS
"The above-mentioned problems created by the dams have led to the opposition in various corners of the country. The experts hold it from time to time that the social, environmental and even economic cost of these dams, however, far outweighs their benefits. The most important social consequence of big dams has been displacement of millions of tribals from their homeland and their eventual influx into urban areas, almost as refugees. This is the reason why Scientists, environmentalists, journalists, social activities, lawyers and bureaucrats have taken up the cry against big dams. The ever-increasing opposition from scientists and environmentalists has forced the Govt. of review a number of proposed dams in the light of their impact on local tribals flora and fauna. Results are also seen. The Govt. had to scrap the Silent Valley Project in Kerala. Likewise, Koel and Karo Project in Bihar was also abandoned due to opposition from local people as it would have displaced several thousands for Santhal tribals in the area.",ENVS
"Though these have been given environment clearance, pressure is being exercised on the Govt. to drop these projects. A reader of newpapers could go through the headlines as “Losses exceed Tehri Dam benefits,” “Govt. forced to rivew dam projects”. “Big dams spell doom”, “How green was my valley”, “The displacement factor” etc. A brief description of these dams is as under: Besides, additional displacement is likely to be caused during social and environmental rehabilitation work undertaken to repair the dislocation and damages caused by the project. Likewise, compensatory afforestation and setting of wildlife sanctuary will displace other villagers in the area. It is officially admitted that nearly 43,000 ha of land will be needed for rehabilitation of SS outees. It claims to be the world’s largest river valley project. The 30 big dams and over 3,000 medium dams are envisaged. It is estimated that it would displace over one million people, mostly tribals, submerge 56,000 ha of fertile agriculture land. Total forest are of nearly 60,000 ha will be destroyed. As a result, nearly 25 species of birds will be deprived of their habitats.",ENVS
"GSI with its headquarters at Calcutta functions six regions, three specialised wings and a training institute. Each year GSI takes up about 1100 investigations in geological mapping, mineral assessment, geotechnical and environment studies, air borne geo-physical surveys as well as geological and geophysical surveys in bordering seas. Output of these efforts is in the form of scientific and technical reports, professional papers, maps and inventories and various types of publications such as memoirs, records, bulletins, Indian minerals and Palentologica Indica. In addition to production of primary metals—zinc and lead, the company produces a number of by-products such as cadmium, silver, sulphuric acid, phosphoric acid, fertilisers, zinc sulphate and copper sulphate. Based on lead-zinc deposits of Rampura-Agucha in Bhillwara District, a new open pit mine at Rampura-Agucha and a new smelter at Chanderiya in Chittogarh District is under construction. Total cost of the project is estimated at Rs. 684 crore. The smelte will have a capacity of 70,000 tonnes zinc and 35,000 tonnes Lead per annum. It will be operational during 1991-92.",ENVS
"Production of quality seed is a vital link in the spread of new varities and, hence, this programme was given a very high-priority by executing National Seed Project. Phase III of this project has been taken up for accelerating the development of High Quality Breeder Seed. Conservation of Valuable Plant Genetic Resources is vital for the success of Crop Improvement Programme. National Bureau of Plant Genetic Resource established in 1976 is acting as a nodal Institute for the important activities related to collection, conservation and exchange of Germ plasm. Lately over 2400 Germ-plasm accessions were added to over one lakh accessions already conserved in the Gene Bank for long-term conservation. To further strengthen the research efforts on conservation has been launched at NBPGR, New Delhi. Sustainability and environmental quality have been the major considerations for Developing Crop Protection Programmes. Major thrust was given in promotion of Integrated Pest Management (IPM) concept in all major crops. This included biology control of crops pests and diseases; mass multiplication and development of appropriate systems for dissemination of biological gents and use of novel methods such as insect growth regulators, Pheromones, Kairmones, etc.",ENVS
"Pesticides widely distributed by natural means but they tend to retain much of their biocidal activity for fairly long periods. On account of the use of different kinds of poisonous agriculture chemicals the whole biosphere is being increasingly poisoned and polluted. Many of these chemicals and pesticides are known to persist for long periods in the environment. Their concentration builds up geometrically as they are transferred to different stages of the food web. Serious cases of fish mortality have occurred following the leaching of poisonous biocides from agricultural fields to nearby rivers or streams after rainfall. Great concern was shown on a case of large-scale fish kill in the lower Mississippi river in U.S.A. wherein five million fish died. Careful investigation indicated that the fish had died due to dumping of Endrin- rich agriculture wastes and runoff into a tributary of the Mississippi River the Memphis. Residues of various weedicides and insecticides often accumulate in agricultural soils rapidly. Insecticides are designed to kill insects. As such they may not be toxic to plants. On the contrary to it, some herbicides differ from insecticides in killing both desirable species as well as the intended target. They may adversely affect such soils microbes as nitroes fixing blue-green algae and bacteria. This, in turn, may impair the growth and production of higher plants.",ENVS
"Most pesticides tend to accentuate the problems of both production and pollution instead of containing them. The consequence of pesticides is almost invariably adverse and harmful. In the Ninteenth century, the ladybird beetle was brought from Australia to California to control a scale insect pest of oranges. It is reported that the beetle successfully kept the pest under check for more than five decades until about 1946 when DDT began to be used in the citrus orchards. The beetle was susceptible to DDT and hence its population declined. However, a subsequent withdrawal of DDT again restored the natural balance of biological control within a few years. In fact, DDT is one of the most effective pesticides known. This is the reason why it was banned in the USA in 1972. its remarked insecticidal properties were first discovered in 1939. it became a ubiquitous contaminant of fish, penguins, birds and human being. Hence a popular public movement started in the USA that asked the Government to protect the public from the general toxification of the environment by DDT and persistent poisons.",ENVS
"Pesticides have harmful effects on insects, earthworms, invertebrates, protozoa, and microbes found in soils, especially the decomposers. It is reported that human pesticide poisonings, reeducation in insects and mites, and honeybee poisonings account for about 70 per cent of the calculated socio-environmental costs for pesticides in the USA. The use of pesticides kills natural enemies and creates such problems as the development of secondary pests eg. Red spider mites. Resurgence of primary pests can also occur. To illustrate, caterpillars of the small cabbage white butterfly in Brussels sprouts reappeared after DDT has killed their natural enemies. Resistance to pesticides is a cause for serious concern. Other hazards include those to the operator or worker who sprays pesticide, those to the consumer of the crop and those to wildlife. Some species of Eagles and top carnivors are known to be eliminated by DDT because contaminated adults failed to lay viable eggs. Populations of peregrine falcons and some pelicans have disappeard from some areas from some areas where excessive use of DDT interfered with the bird’s ability to transport calcium to growing eggs, leading to marked thinning of the eggs shells. Such weak eggs fail to reach the hatching stage. It is discovered that in ringdoves, DDT greatly reduced the activity of carbonic anhydrase. This enzyme is critical in providing calcium for eggshell growth. When the pesticide inhibits this enzyme, eggshell grows thinner. Artificial introduction of pesticides in the environment upsets natural biological controls. This is the reason why new pests are created in this way because their natural predators, which previously checked their populations, are eliminated. In this way mites have become a pest as a consequence of the emergence of the pesticide industry. Indiscriminate and excessive use of DDT killed some insect predictors of these mites, enabling the mites to multiply to pest status.",ENVS
